verse,328
1,288
when,33165
the,230839
last,5278
breath,883
of,67672
life,10892
is,34606
gone,8623
from,16674
my,80681
body,1082
and,160558
lips,1715
are,15612
as,18363
cold,3434
sea,1797
friends,2470
gather,328
round,2950
for,40804
farewell,244
party,848
want,10825
you,193553
pretend,587
love,45397
me,86816
chorus,2513
there,27723
will,15846
be,41565
flowers,836
those,4259
who,9088
cry,4312
i,276508
m,41200
leave,5107
in,79671
this,23551
world,9101
alone,5459
know,27805
ll,33310
have,18304
fun,1343
at,15861
glad,914
2,425
don,30008
t,75850
mad,516
wanting,283
to,130950
keep,6907
till,3539
on,53784
old,11808
through,9646
free,3451
end,3164
but,40460
go,19231
away,11587
loving,2541
repeat,474
oh,19540
wonder,2360
if,24924
ve,24540
had,10246
time,20353
it,83000
takes,1629
think,8091
over,7851
sort,89
out,18536
all,41535
feelings,451
your,44278
mind,7460
sometimes,2792
found,3883
someone,4344
do,19406
thinking,1396
cause,12455
lately,412
been,12853
showin,102
signs,300
should,3872
come,14106
home,11300
or,9188
crazy,2490
begging,210
please,3431
make,11010
up,22023
then,10628
lose,2008
mine,5218
night,12594
came,3921
by,12691
rang,121
bell,393
no,22840
one,21592
answered,116
heard,2786
voices,255
whisper,688
door,3584
now,20391
not,14256
sure,3469
anyone,687
was,27768
talking,815
hear,5838
more,10401
still,9677
recall,390
morning,3444
that,71213
met,1639
standing,1330
front,951
wilson,25
s,92220
five,899
dime,482
staring,271
window,1140
jewelry,22
hungry,444
things,6276
couldn,2114
buy,1104
just,33740
like,25866
a,132837
fool,2571
thought,4224
could,11910
saw,2605
an,8210
eye,1230
shine,1783
paid,423
seven,511
mill,144
dollars,298
bracelet,11
satisfy,117
fourteen,82
carat,9
layin,163
these,4335
railroad,332
tracks,264
denver,71
with,30667
hurtin,368
head,3579
half,1245
pint,32
wine,1460
everything,4168
except,299
soul,3240
has,4572
surrendered,31
cabin,214
built,553
west,683
virginia,151
enough,3305
satisfied,559
man,12461
got,20739
occupation,16
can,35096
afford,157
feed,293
rich,554
girls,1398
appetite,48
re,25287
willie,274
jackson,195
he,31287
alive,904
ol,1112
gave,2184
his,13687
wife,1221
children,1405
mornings,87
closing,234
how,13289
face,3685
another,4817
dawn,903
lost,3792
meaning,178
minute,730
she,33322
begged,115
pleaded,33
done,3772
tried,1995
lord,5727
turned,1882
move,1336
mountain,1601
take,12068
stars,2036
sky,2814
send,863
down,22348
rainbow,482
even,4438
turn,3957
tide,320
once,3657
made,5672
blind,893
see,15900
changed,843
water,2135
into,4332
need,7384
miracle,178
jesus,2000
would,8804
change,3097
her,22878
here,11985
beside,1148
good,10618
ever,8417
back,15160
broken,2376
myself,2511
may,3455
worthy,73
won,7712
get,15129
hell,1648
told,3302
story,1170
about,9091
years,3095
played,878
horn,145
new,4963
orleans,319
some,9664
dingy,14
dive,74
knew,3625
em,2759
said,10357
reached,340
closed,359
eyes,7589
wet,236
blues,2107
were,8883
born,1910
so,30064
much,6026
feelin,1153
tears,3211
stopped,684
reminisced,2
bit,1369
sigh,243
almost,1214
before,5412
dixieland,37
po,108
folks,1149
jack,403
slapped,27
knee,329
grin,120
reaching,262
floor,1358
placed,148
hung,400
across,1548
goodbye,2849
shuffled,8
enthused,1
what,22657
never,18302
name,3531
called,1773
waitress,125
started,1493
explain,339
tired,1355
tarnished,25
mem,484
ries,261
smiled,384
teardimmed,8
mistaken,51
talkin,705
bout,1754
used,3483
him,9118
too,9784
find,7422
basin,9
street,1614
churchyard,14
stone,898
reads,76
rest,1544
peace,1089
hard,4700
reason,1410
goin,2279
talk,2353
though,2581
ought,445
every,9116
makin,604
each,3483
sittin,810
athinkin,11
missin,253
drinkin,579
knowin,226
hatin,15
sun,4380
goes,2745
calvin,9
county,491
neon,326
lights,1797
beer,1072
sign,726
shown,119
sidewalk,112
walked,1711
pass,896
looked,1458
around,8542
sat,588
table,528
ordered,58
beef,28
rye,110
glass,687
little,13603
lady,1202
selling,63
paper,506
roses,867
they,21192
only,8704
cost,271
rosie,51
sold,277
silver,965
hair,1897
its,2566
gold,1634
trembling,156
hand,4852
passed,539
rose,1211
red,2381
crepe,6
nature,250
bouquet,133
help,2487
today,2658
took,3355
age,367
spring,592
smell,388
say,13018
pretty,2431
went,2880
look,6265
outside,856
spray,23
lay,2463
side,3330
