gods,1608
of,114439
the,300180
mountains,552
sky,4729
forest,457
and,116671
seas,566
lands,512
fire,5570
ice,1035
northern,279
deeps,30
cold,4508
as,18998
a,99042
storm,1327
from,24764
raging,379
sea,1799
soon,2059
their,10444
winds,938
to,140657
rise,2926
black,5319
burning,3253
skies,1315
raise,1003
hammers,63
spears,85
swords,414
high,2879
on,39504
your,65389
ride,2263
along,1151
great,1660
legends,87
born,2608
warriors,422
horses,152
attack,807
mountainous,7
sides,183
fires,467
shall,3328
flame,1138
all,45226
battalions,19
stride,92
alliances,3
stand,4525
line,2103
by,15830
hordes,165
men,1741
armoured,21
die,8980
fight,4599
norse,17
while,2889
death,8303
glances,25
in,85465
eyes,11802
swing,185
axes,45
blades,168
unto,479
final,1861
attrition,24
holds,391
forces,418
under,2975
now,24533
be,34072
victors,14
with,31856
forged,162
warcry,15
echo,289
loud,600
fierce,98
mountainside,20
set,2726
lives,2395
which,2267
is,57714
for,47214
you,166430
sign,1168
man,7321
no,30312
wind,2220
break,3853
through,11946
enemies,469
lines,719
dark,5117
power,2915
we,52143
here,10455
victory,636
stands,546
this,38661
days,2809
bring,3266
fate,1999
our,17204
down,17532
them,6945
ground,2763
march,589
fathers,191
unite,240
flag,265
oden,28
dying,2341
skyline,52
rain,2206
autumn,295
darkness,3849
end,7975
flames,1649
north,384
blows,277
my,81002
sight,1554
afar,104
coming,3193
stars,1768
burnt,379
these,6088
ancient,977
norsemen,13
once,3822
brought,863
us,10154
pride,1563
heathen,128
force,1261
sun,4142
still,7903
clouds,964
rage,1139
re,23218
blackened,439
heir,44
arise,534
fiends,100
war,3870
over,6255
mountain,474
far,4002
fields,556
before,5849
side,3119
hold,3851
forth,689
stallions,16
free,4874
again,9905
wandering,210
above,1858
plains,149
up,18214
fiery,150
lights,1217
i,211244
call,3622
world,12811
am,11614
watching,1018
upon,3190
horizon,458
sights,227
at,13431
hand,3901
one,20202
light,7566
day,8899
bound,755
dethroned,31
worlds,582
who,10306
come,12049
m,33513
forests,133
wars,352
between,1652
so,28963
choose,816
those,3749
oppose,67
damned,773
iron,465
might,2052
behold,581
against,1822
restless,274
vengeance,508
arms,1486
conquer,290
s,64273
winter,885
rages,126
time,20248
beyond,2345
minds,1265
shadows,1950
called,813
saddled,7
horse,280
heights,103
rode,122
misty,112
battled,30
sword,949
blood,8777
drank,128
flaming,117
breath,2426
strife,165
were,5880
young,1265
none,737
ruled,157
began,341
alliance,52
gold,885
sold,533
kings,441
steel,1202
made,4154
din,54
battle,1365
see,19712
where,10154
mighty,615
heavy,712
will,32041
kind,1338
looked,461
thy,1074
doom,559
prophecies,92
true,2623
ending,730
moments,363
red,2063
fearless,138
inside,8494
fought,392
honor,313
kingdoms,89
proud,624
warrior,310
son,1473
live,6713
sigh,174
hunger,529
eye,1927
somewhere,743
there,18684
was,14528
dream,4078
felt,1239
deep,3623
that,44234
could,7032
understand,1958
do,14443
go,11851
when,18941
find,6488
way,12631
lies,5174
ve,16813
left,6091
behind,3672
seem,1163
mind,8730
take,13529
look,6038
what,26831
me,72249
life,20050
mine,2657
tried,1505
heal,667
wounds,842
never,19745
really,2689
did,3601
believe,4544
real,2831
reminded,36
memory,945
its,4354
gone,5013
into,10319
gray,270
moment,1333
running,2102
hard,3243
snow,663
idea,169
someone,2209
front,895
try,4808
can,32967
t,53689
change,2957
path,1697
urge,201
give,6929
let,12782
rescue,121
how,8916
away,14496
normal,125
town,928
feel,11757
lost,6087
starting,312
drown,864
know,19503
done,3396
not,18988
work,1112
mortal,554
being,1790
came,2219
close,2589
dead,7402
night,9541
didn,1464
hear,5613
whisper,465
but,24819
fright,170
lifted,81
don,22738
whom,231
trust,1421
tell,5974
run,4035
or,8392
right,7476
nowhere,991
hide,2561
just,19497
many,2824
abducted,35
sane,164
land,2828
midnight,572
have,17502
escaped,82
clutch,60
are,26507
they,22410
after,2030
chance,1767
flee,278
faint,104
scream,1851
distantly,1
another,5398
caught,1016
why,7094
helping,94
become,2082
rung,16
ahead,743
taken,1155
safe,710
whoa,467
games,349
play,2042
it,77004
say,8705
dreams,4249
only,9110
scars,811
remain,834
ll,21394
avoid,143
lead,1604
back,11421
home,3852
comes,2762
must,4075
coexist,26
welcome,1141
friend,1630
mysery,2
been,7759
lons,3
since,976
journey,706
eternity,1045
has,7713
matter,1394
carry,1214
flying,546
wings,1724
destiny,1208
infinity,314
tempting,64
melody,140
beckons,72
draws,140
closer,840
keeps,882
earthbound,18
past,2723
swept,162
vanished,93
thin,352
air,2016
trapped,802
yet,1982
futile,102
spin,177
ever,5544
follow,2122
other,2452
few,595
serge,1
storms,299
destroy,1130
ones,1781
spend,367
torment,465
begin,1019
descent,111
breathed,46
enemy,1016
sisters,98
new,4735
army,336
cleanse,176
mother,1502
earth,3238
patriarch,7
devastation,165
reformation,14
waits,268
cannot,2461
gathering,175
sensing,44
waves,774
riding,476
ablaze,197
souls,2046
written,503
scrolls,27
regaining,12
control,2524
mixing,24
mud,180
venomous,77
unleash,199
flood,350
god,6579
toy,110
relics,21
ashes,923
phoenix,77
heaven,2096
immortal,395
reign,674
disgraced,55
gift,467
pure,870
greed,742
plague,452
cure,436
sometimes,1355
waiting,2983
dawn,1445
out,18684
wander,284
alone,5547
drifting,248
calling,1529
uncertainty,84
depths,366
below,927
demons,1109
dare,672
resonates,12
unseen,322
rising,1016
fragile,259
core,364
crashing,282
sing,1622
songs,425
begun,619
wipe,290
tears,3172
then,5865
bells,195
chime,52
tolls,41
tonight,3042
silently,147
slip,447
lair,109
doubt,716
despair,710
sense,1185
everywhere,648
story,889
forever,4721
offering,105
ways,1285
led,440
road,1279
rein,6
nights,893
awake,1028
ended,193
arrive,174
hiding,606
semblance,17
feeling,2392
found,2388
around,5203
lonely,1286
voice,1814
had,5074
told,1780
different,877
searching,1041
place,4291
blindly,109
leave,4437
faithfully,33
embrace,1046
without,4245
long,4979
yearning,198
foryour,2
sinful,111
touch,1775
own,5074
decay,749
fade,1256
always,5650
together,1976
beside,415
ghost,635
within,3205
near,1204
heart,8570
empty,1803
walk,2986
endless,1432
used,1525
wanted,1399
ago,609
knew,1570
strange,768
unknown,887
toll,234
smiled,116
cry,2984
reprieve,18
slips,166
seems,2054
planted,65
