oh,71732
baby,54929
how,35174
you,642067
doing,3636
know,94190
i,725250
m,127328
gonna,31754
cut,2025
right,29027
to,326208
the,496395
chase,829
some,18170
women,1188
were,17798
made,10791
but,83928
me,263306
myself,8030
like,80098
think,23104
that,161106
was,43197
created,185
for,100381
a,261085
special,1970
purpose,181
what,76806
s,205351
more,27257
than,13162
feel,34120
it,266053
on,122629
let,51452
get,54191
lost,8608
don,95283
t,207485
need,31509
call,11587
into,11947
work,5764
cause,41835
re,78799
boss,526
real,8636
want,48360
show,11738
consider,137
lucky,1647
big,6807
deal,1178
why,23720
well,15323
got,57313
key,1235
my,199867
heart,35844
ain,19864
d,21384
rather,1818
open,5547
up,65756
body,7434
and,313221
secrets,831
didn,7690
inside,11008
no,71520
lie,4793
too,22553
wide,1711
strong,4791
won,20075
fit,1009
much,14009
tough,1033
he,39597
talk,7163
this,71799
can,111669
back,33123
ego,259
such,4103
huge,68
love,124223
his,14021
walk,8501
usually,245
humble,165
now,59989
choose,1437
leave,12252
with,76540
or,19618
could,28990
have,42233
blues,1327
arrogant,32
confident,101
decide,747
when,74677
find,17523
working,1385
damn,2878
killing,1075
them,14468
legs,594
better,14316
yet,2577
thighs,197
matter,5838
fact,1053
smile,6218
maybe,8261
eyes,19398
boy,13023
site,50
see,47120
kind,4815
of,133169
something,13349
so,97351
must,7363
admit,677
every,20623
reason,3940
bitch,2983
if,60519
beat,5391
sing,7445
piano,254
playin,952
everything,14495
easy,4843
seem,3321
sure,5748
still,19299
your,139664
ways,2119
dont,4008
not,42064
they,42359
then,20602
things,15464
come,41262
along,4232
our,20875
way,40331
though,6002
we,127449
truly,582
ask,4534
seems,4399
as,29962
linger,299
delight,271
bring,6623
just,80413
seemed,811
trying,5390
really,14483
say,41878
even,11603
through,21012
darkest,510
day,27161
might,6026
feeling,10659
strange,1802
about,22268
words,7283
slipped,267
out,46673
may,6035
coming,6862
from,34710
bore,212
all,110238
time,49079
hold,15263
in,172739
courage,299
speak,2160
ll,69682
listen,4796
tell,28473
is,104069
there,54897
wrong,9407
fastened,2
sounds,927
be,116407
melody,921
are,46904
will,43363
alright,5938
sleep,4887
do,68890
same,9363
exactly,682
hear,13706
ve,48966
felt,3390
new,11569
eversince,2
acted,92
go,53075
would,19788
mind,16190
telling,2295
stay,12609
days,6874
by,23064
search,828
tenderness,349
isn,2582
hard,10405
live,11435
look,17884
truthfulness,2
blind,2156
always,18962
give,25460
chorus,5814
honesty,256
lonely,6585
word,3611
everyone,3518
untrue,256
hardly,575
ever,17896
heard,4537
mostly,102
someone,9620
sympathize,31
wear,1826
sleeve,308
pretty,4269
face,10457
lies,3800
believe,13372
lover,3679
friend,5793
security,164
until,6002
bitter,676
end,8771
anyone,2217
comfort,777
promises,922
again,21003
deep,5488
concerned,172
nothin,2154
while,7582
gone,13245
sincerity,39
where,25245
else,6108
turn,11923
one,50603
depend,306
upon,2707
wrote,854
book,1021
stand,6870
title,66
life,30415
superman,201
make,39818
count,1745
privilege,38
ideal,66
honored,14
everyday,2469
rock,5307
truth,4183
wanna,27635
kiss,8672
ya,13538
please,10002
touch,7396
night,27874
reward,83
try,13066
run,10629
fingers,1120
before,12475
timeless,95
sugar,1277
keeps,2432
going,10343
keep,21384
lovin,2907
best,7124
whole,4542
little,19709
piece,1302
minimum,33
talking,3032
single,1788
wish,7513
dream,9530
options,54
worth,2523
thank,2071
us,17736
fine,4610
sand,1225
cry,9714
joy,2263
pain,5995
party,4947
people,9663
popping,149
sitting,1445
around,19168
looking,7304
at,32759
started,2510
hook,588
stuff,1104
freshin,4
ruff,46
start,7495
stop,12872
am,16469
black,3896
culture,155
church,570
bells,1315
ringing,495
choir,236
singing,2539
saw,4485
down,43408
aisle,87
her,29486
finger,873
placed,151
ring,2440
oooh,1319
holding,3052
hands,7315
she,50429
standing,3191
man,20376
promise,3130
til,4296
death,1363
part,4169
each,5599
losing,1944
wedding,430
over,19149
rice,123
has,9262
been,26348
thrown,271
their,6557
heads,580
begun,753
mine,10292
ending,765
ooh,11156
another,10714
spend,2566
waitin,854
staring,762
wishin,239
warm,2554
sun,8832
awake,1230
heaven,5594
sakes,16
ready,5632
never,48849
waiting,8095
adore,903
tight,3163
once,6276
only,23880
lifetime,876
living,5762
place,9431
sanging,1
name,7700
hoping,1318
fade,1795
away,30153
waste,1820
needin,109
seeing,1015
makes,6304
clear,2522
6,446
o,3046
clock,1199
seconds,392
hours,1362
sit,2711
here,30936
watch,5523
tick,400
thought,8469
longing,495
cant,2322
untill,22
nothing,15672
patiently,175
wait,7565
12,152
crowd,1287
getting,5343
thin,725
okay,2004
refuse,537
move,7448
pressed,129
against,1581
care,8467
long,17234
takes,3248
comes,6582
rise,1964
thing,12679
happened,1437
bar,855
aint,2355
take,35579
read,2207
magazines,167
said,17650
couldn,4342
stuck,1480
town,4704
off,11817
phone,2725
finally,2369
alone,12792
moments,756
sweetest,616
kisses,1312
weakness,287
busy,743
lets,2374
slow,3569
minute,2031
goes,6142
fast,3054
feelin,2597
last,9809
verse,1401
2,2378
few,1317
gotta,15494
girl,29031
happening,542
laughter,734
follow,3290
after,5618
chance,5368
steal,1079
delicious,178
miss,5369
tonight,14702
bridge,1324
callin,724
cries,699
goodbye,6045
breath,2595
skin,2182
cherish,292
taste,2052
far,7697
good,21454
desire,1510
sweet,8066
honey,3530
bumped,37
yo,4471
head,9638
enough,8264
sense,1486
hate,3736
home,15237
kids,1737
dog,1238
check,1629
credentials,8
friends,5658
woman,5018
beauty,1242
class,582
style,1449
ass,2207
looka,22
put,11876
money,7261
bank,359
account,110
help,6312
notice,645
books,321
sharp,204
smart,527
moves,859
bedroom,455
happy,6313
nasty,428
tune,846
lovely,1294
plain,577
dumb,1289
lay,3561
sorrow,967
fills,376
despite,172
disguise,695
left,9400
shoulder,955
everybody,7660
wants,2835
lean,713
guess,4495
soldier,503
who,23905
save,3672
hero,813
crying,2463
saves,83
world,24184
bottle,845
hurt,5362
die,5849
simple,1476
gesture,26
beautiful,5114
buried,298
treasure,435
lead,2087
pot,245
gold,2281
given,1320
driving,1168
crazy,7157
sometimes,5857
hello,2401
called,1976
service,152
club,2137
whawhawhat,3
did,11504
huh,1601
breakin,455
sorry,3441
cannot,1938
kinda,1688
kkinda,6
second,2006
favorite,992
song,8688
play,8860
text,185
drink,2110
hand,8624
eh,1478
shoulda,440
plans,898
knew,7292
free,8342
calling,3170
anymore,3108
dance,8669
floor,3837
telephonin,12
eheh,9
theres,838
reach,2785
telephone,599
cuz,2237
sippin,328
bubb,12
blown,358
faster,761
coat,400
girls,6323
disaster,228
collector,19
answer,2019
sick,1735
tired,2642
grand,537
central,80
station,459
takin,711
calls,902
dancin,751
dancefloor,110
mmm,1268
feels,5190
led,380
belong,2268
oohh,150
ooohh,58
trough,125
difficult,167
times,6120
doesn,4082
final,508
next,4274
truck,387
rolls,220
front,2012
loves,2891
longer,1733
change,8668
pull,2454
b,787
chasing,784
ice,1319
cream,431
luck,1073
catch,2823
ran,932
sped,16
caught,2662
stopped,693
jumped,220
realized,365
flavor,140
youre,1807
couldve,17
forget,6147
id,463
forgive,1510
break,8382
erase,384
tears,5929
pains,96
ill,1741
without,11160
babe,3696
broken,4373
brokenhearted,140
im,5375
ive,744
afraid,3370
youve,355
most,2468
respect,722
deserving,34
yes,8190
complain,309
beo,5
thats,1211
meyeah,4
spread,731
wings,1676
fly,6371
yeah,36613
ohh,1731
nono,46
quite,1397
storm,1496
rages,31
hit,4435
damage,271
gave,4515
had,17148
imagine,1010
finding,612
letting,993
music,5440
souls,540
pretend,1682
ourselves,707
loosing,128
control,3591
opening,133
sign,1755
relieve,101
emotions,598
flow,1813
explode,299
ordinary,520
wont,1505
injured,15
gained,121
horizon,297
hurts,1893
does,3781
many,6132
settle,523
less,1439
because,6888
gets,3084
confusing,119
confusion,435
lately,830
own,7663
honestly,312
concentrate,96
possibility,70
company,509
assume,71
internalize,3
fare,118
address,141
problem,907
aware,297
fix,798
understand,5709
la,15984
laaa,13
bad,8382
clearly,330
loving,4645
mission,466
hug,415
snatching,11
bit,2959
strength,1286
gon,2889
fight,5043
inevitable,28
breaking,2096
situation,692
poison,431
slowly,1300
moving,2234
system,491
defenses,117
deadly,135
22,125
cure,516
found,7373
affliction,31
addicted,471
high,7637
subsides,18
flat,353
lines,1154
revive,32
alive,3749
crashing,365
doses,14
needing,355
prognosis,1
victim,349
an,13857
assassin,39
broke,1991
told,6559
unfair,110
health,179
www,35
log,72
anywhere,1278
type,1053
beyonce,128
ww,4
w,127
international,101
specific,11
area,80
code,166
whether,571
project,57
homes,147
seas,410
stones,441
roads,402
divide,157
globe,118
essentials,6
whatcha,506
login,3
bee,396
backslash,3
n,2470
c,2240
mac,138
maximize,4
full,3002
potential,62
connect,133
speed,695
cable,59
u,1993
drive,2402
passenger,85
side,7421
audubon,2
browsing,7
click,310
assure,37
places,1270
any,5257
sensitivity,15
lyrics,380
intensity,19
lyric,42
enjoy,687
ay,1311
shakira,61
kissed,1286
liar,518
ones,1752
suffer,350
kill,2214
karma,221
drama,432
laugh,2089
him,12900
trusted,185
followed,262
together,9340
walked,2014
scene,1057
dancing,3094
heartbreaks,24
innocence,385
ashamed,426
blame,2150
beyonc,38
mi,2622
tambien,8
hay,200
que,1448
caer,6
its,8128
nos,156
va,189
dividir,6
incitar,6
vamos,43
sufrir,11
por,223
un,1111
bello,21
en,735
el,565
ms,142
cuando,69
lo,414
encontre,7
cuello,4
ti,290
si,687
mil,50
ahi,42
es,472
perro,3
crea,2
tan,202
mio,81
viva,155
hombre,20
muy,39
frio,4
de,2793
una,176
mujer,37
puede,28
engaar,3
con,238
su,275
juego,9
basta,19
sus,10
mentiras,8
adios,81
las,162
dos,61
y,2714
sasha,5
took,4917
testify,94
crystal,374
picked,378
talked,350
mouths,96
turned,2515
fall,10498
short,905
being,3600
worthy,133
superstar,296
spotlight,251
shining,2033
used,6297
wake,3489
somedays,40
stayed,691
asleep,879
went,3660
bed,3521
top,3040
today,5142
opinions,71
position,286
breaks,952
perfect,2988
shunned,12
succeed,144
raise,978
blessed,577
loved,3944
anything,5301
box,698
closet,152
bought,865
mess,1715
tag,167
remove,80
bags,483
cab,137
yard,260
fool,4322
twisted,480
bout,4588
tomorrow,3951
thinking,4912
irreplaceable,25
ahead,1465
chick,859
oops,123
bet,1726
putting,500
rolling,1047
car,2658
dropped,334
keys,552
hurry,1125
taxi,167
leaves,1321
since,4007
shed,411
tear,2127
lose,6087
wink,146
replacing,20
pack,822
finished,218
remember,7963
first,6420
smiled,453
stepped,264
dreamed,790
house,3423
butterflies,303
although,894
tried,3865
hide,4180
both,3151
held,1536
others,976
laughed,412
true,10703
ohhh,678
feelings,2189
stares,134
cares,1029
obvious,288
trusts,32
missin,368
kissin,384
looks,2093
brown,933
soul,6914
arguement,6
apologized,11
compromised,26
haven,1498
argued,13
playing,2505
games,1354
fell,2136
those,6979
ohhhh,221
showed,767
meaning,848
em,6028
creeps,69
runnin,1247
streets,2044
game,4979
fake,950
goin,3078
share,2592
lives,2204
past,3116
breeds,38
precious,927
wonderful,1577
comfortable,201
thugged,11
trust,2867
locked,773
trouble,2122
strip,330
young,5019
should,12057
witness,284
mistress,65
1st,91
hey,13691
tryna,1284
chill,633
deserve,964
sexy,1302
qualified,43
prechorus,107
closer,2351
making,3916
whisper,1126
ear,881
boywhat,2
2nd,47
close,7189
dj,1257
songs,1692
meet,3423
parking,156
lot,3520
quiet,883
other,8133
repeat,1187
certain,709
spot,800
boys,3645
leavin,576
whats,426
laughin,207
flirting,66
act,1689
distance,888
actin,415
says,3009
startin,155
wanted,4273
happen,1832
proves,53
crew,439
whatever,3139
homeboy,58
interested,70
pays,117
attention,789
tended,6
pay,2293
affection,506
cool,3259
ove,13
treat,1801
dirt,568
boo,581
wonder,4212
eachother,38
wife,972
2x,216
train,1779
wreck,299
morning,5620
afternoon,451
warning,536
mean,6102
towards,302
puzzle,152
indeed,259
complex,50
pieces,1138
aren,547
picture,2082
accept,342
flaws,110
neglect,35
tend,139
nag,23
host,69
imperfection,12
peasant,28
standards,36
queen,1441
1,1562
weighing,52
hating,194
prove,1203
shake,4218
laying,416
judgements,10
preconceived,10
character,57
feed,706
rest,2609
admire,69
consuming,59
incomplete,181
youyou,40
uhh,276
cruisin,101
westside,48
highway,596
behind,4577
shades,396
necklace,64
dates,53
thoroughest,1
wit,2209
mashin,9
gas,331
grabbin,27
wheel,688
rides,211
bobby,219
whitney,21
during,62
sex,906
city,3696
carrie,54
fever,864
soon,3997
mami,250
rider,175
roller,295
lacks,19
track,1140
