a,364224
lot,4765
of,215985
cats,567
are,68343
hatin,31
slandering,1
makin,1044
bad,10424
statements,25
mad,2086
cause,39469
they,70926
sit,4547
on,162639
their,15935
ass,1739
just,97585
stagnating,5
always,23268
now,77125
classmates,5
i,856065
graduated,35
with,94381
wonderin,288
how,38354
the,756702
stupidest,15
kid,2115
up,79048
in,246016
class,898
made,15095
it,327741
sick,4111
and,438680
jammin,38
down,72676
my,232435
mans,150
basement,309
getting,7511
restraints,15
complaints,40
from,54666
neighbors,322
prejudice,66
bigots,17
say,47119
sound,6965
like,85653
them,19069
damn,2797
pair,508
lenses,22
ain,20085
t,252995
impaired,20
vision,1321
m,144178
mission,596
escaping,198
own,12011
prison,757
inflicting,7
more,33250
pain,10309
then,25257
you,720710
re,104459
givin,697
see,62464
victim,779
can,129725
believe,17122
let,50675
take,46077
time,69074
space,2733
mind,23171
give,25336
here,40856
takin,841
what,95133
s,281935
mine,10817
only,28716
ounce,137
power,3459
that,187236
have,56142
is,140152
do,69735
hours,2136
pass,3331
dont,4376
know,102391
long,24851
gonna,38976
last,15309
so,113947
ya,8147
snatch,55
powder,176
out,72961
hourglass,83
everyday,2421
awake,2399
face,15955
angel,3508
death,4830
he,57956
may,7516
be,125664
taken,2400
breath,4275
lay,5556
me,270959
to,442748
rest,4583
by,34533
inner,331
state,1938
place,14658
rep,16
way,50562
dress,1598
another,17049
express,255
we,163689
some,26281
day,34268
everybody,9018
will,62209
dead,9311
rotten,420
forgotten,1392
oughta,395
keep,22751
this,97734
for,131818
normal,407
topic,46
because,9301
all,152270
get,59593
caught,3760
drama,279
but,111057
gossip,167
mean,7204
when,87137
goners,1
never,63397
did,15658
audition,16
part,5052
play,9277
ll,86435
accidentally,50
fall,14916
grave,1827
really,15678
shit,4165
about,26136
according,97
spending,328
days,11305
world,31677
turnin,440
inferno,41
burnin,768
affirmative,16
life,40434
earth,4119
impermanent,4
since,4494
visiting,30
minutes,764
limited,75
havin,331
or,28640
doin,1585
if,67032
feelin,2117
lend,364
hand,12535
hurt,5074
pedestrian,12
help,8696
friend,8289
any,7616
man,28708
plans,1343
make,40589
stray,335
path,1394
chance,6167
somebody,5641
tell,30742
why,26478
landed,211
planet,684
left,16985
stranded,284
suffer,830
land,4865
leave,15878
emptyhanded,14
experienced,48
fraction,46
eternity,687
vanish,126
took,7674
advantage,142
granted,396
youth,1106
used,8015
smoke,2332
quarter,458
night,33816
was,63894
bored,922
ignoring,120
glorious,332
sights,386
lost,14881
hype,103
ten,2125
years,7243
priorities,28
right,33600
close,8108
personal,313
daily,363
abuse,383
fairies,58
spare,488
scared,2812
truth,6873
chorus,4876
oh,68577
must,10084
everyone,6565
disguise,1069
nothing,24324
living,9063
lies,7402
needs,2944
hide,6614
think,29137
funny,2251
flaunting,9
your,185254
automobiles,14
money,7121
something,18894
conceal,171
reveal,338
isn,3463
real,9008
bet,1795
frauds,9
talkin,1578
till,7865
coffin,184
sealed,272
ok,1822
behave,197
anyway,2806
want,53575
look,23228
fakin,49
funk,265
second,2784
brace,166
yourself,8850
punch,452
little,26419
shaken,203
break,11012
through,31191
front,2563
white,5787
who,31598
suffered,201
an,21790
identity,152
crisis,165
one,64115
many,8614
cared,598
liked,576
kids,3214
got,67181
excited,295
were,25485
ready,5937
bite,1327
mic,213
license,100
hittin,80
critics,89
problem,1236
plenty,501
vices,66
writin,46
ripe,150
spittin,36
venom,125
soul,12036
flesh,1311
denim,52
kill,5271
every,23509
opponent,23
message,1253
send,2621
em,5740
no,88809
heartbeatin,2
lungs,618
breathin,140
thought,11673
questioning,93
demon,495
forcing,80
start,8763
kickin,284
mental,318
martial,20
arts,39
piercing,93
hearts,4172
these,15896
metaphorical,5
darts,55
use,4120
verbal,60
call,13335
truce,41
verse,1077
hurts,2024
worse,1371
works,708
quick,1176
as,45823
noose,243
stop,12422
frontin,31
wantin,83
mouth,3115
running,7288
sought,102
assault,33
thoughts,2885
kept,2090
comin,2969
tried,5751
well,32349
died,2609
his,25895
sleep,8141
saying,2914
put,11929
him,14602
6,336
feet,5792
deep,6779
diagnosed,10
overload,159
flow,1367
brain,2473
guess,6196
told,8489
drove,873
insane,1885
rough,863
pull,3423
trigger,508
bigger,835
poisoned,183
lyrics,515
quicker,125
than,15306
liquor,299
go,61117
blast,430
gun,3571
yellin,73
victory,434
said,27589
done,10511
son,3781
battling,42
wars,438
chords,204
metaphors,22
lord,7147
knows,7660
pen,473
mightier,25
sword,447
armed,185
almighty,199
force,808
sure,7538
destroy,925
core,388
endure,182
course,1101
blow,3510
bomb,1001
move,6934
beyond,2255
wayward,72
carry,3696
forever,9775
green,2559
seen,8605
before,17801
raw,311
far,12132
hardcore,133
alive,7326
compact,16
disc,57
miss,5479
hit,4664
assuring,7
exist,707
three,3902
times,8616
arrogant,68
teaching,102
classes,76
calling,4058
grip,541
spit,839
ancient,507
eternal,636
masses,254
enthusiastic,8
opposite,114
plastic,824
recorded,77
already,2770
classic,153
holding,3763
position,306
war,5032
paints,110
poetic,27
ammunition,62
combat,83
without,11935
physical,150
contact,173
under,6813
attack,925
gettin,1797
bashed,11
smashed,167
slashed,31
gashed,3
sharp,432
tongue,1702
piercin,2
ear,1081
drum,644
fearsome,4
slinging,12
even,12872
doing,3843
words,10649
cut,4039
clean,2253
poet,208
supreme,85
flip,434
tha,157
taichi,2
chuan,1
droppin,78
terrorist,38
bombs,478
blood,6772
lebanon,20
reside,59
hills,783
outside,4080
city,6296
walls,3318
behind,8995
closed,1199
doors,1062
infinite,144
source,215
while,10998
dwellin,2
hood,320
inhaling,20
smog,42
woods,483
puffin,27
logs,30
god,12965
uninvolved,5
watchin,383
afar,173
loungin,3
mountain,2123
top,3123
countin,134
stars,5411
where,35515
should,13802
begin,2309
villains,55
injuring,3
civilians,23
innocent,1015
listening,1418
bunch,335
synonyms,5
same,13779
band,2143
aint,971
need,31208
mention,416
actors,107
had,24221
crackin,29
laughter,911
hear,17847
cracker,75
rapper,42
still,25563
hearing,620
people,14371
callin,651
wannabe,94
going,15811
cuz,869
heard,6708
cover,2005
ears,1252
noise,1270
won,28663
trash,641
everything,19422
challenge,145
chemically,8
imbalanced,4
single,1951
would,24548
talent,113
y,1061
figured,501
throw,3799
towel,124
tellin,576
repeatedly,13
genre,17
overcrowded,16
past,5666
wonder,6032
ever,21015
love,93745
craft,72
back,44807
pretending,746
scratch,439
anyone,3208
wack,88
blinks,17
eddie,116
kurt,32
shame,3214
resurrect,72
legend,250
emulate,9
veteran,42
level,321
devil,3302
instead,1798
breaking,2697
switchblade,63
carving,99
address,184
enemy,1376
stab,351
heart,32183
wait,10067
hip,644
rock,8884
style,1364
end,14553
sorry,4264
has,15459
started,3329
again,31496
2x,77
enough,10720
switch,490
format,3
talk,8604
fast,4624
gats,18
handtohand,2
mantoman,3
full,5131
floor,4664
mat,64
weak,1762
blows,1122
toetotoe,5
at,47635
dojo,1
none,1377
bozos,5
show,11947
silly,637
hoe,93
shakin,568
her,44776
video,306
didn,9289
kick,1868
flows,555
cold,9742
until,8028
lips,3196
froze,159
folk,127
