;artist;genre
0;Black Eyed Peas;['dance pop', 'pop', 'pop rap']
1;Jimmy Hughes;['southern soul']
2;Joy Division;['alternative rock', 'art rock', 'dance rock', 'garage rock', 'indie rock', 'madchester', 'modern rock', 'neo-psychedelic', 'new wave', 'post-punk', 'rock', 'uk post-punk']
3;Mint Condition;['dance pop', 'funk', 'hip pop', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'soul', 'urban contemporary']
4;Plump DJs;['big beat', 'breakbeat', 'electronic', 'nu skool breaks']
5;Jope Ruonansuu;['classic finnish pop', 'classic iskelma', 'finnish pop', 'iskelma', 'suomi rock']
6;Rick Astley;['dance rock', 'europop', 'new romantic', 'new wave', 'new wave pop', 'soft rock']
7;Mike Jones;['dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music']
8;George Jones;['country', 'country gospel', 'country rock', 'cowboy western', 'nashville sound', 'outlaw country', 'traditional country']
9;Kanda Bongo Man;['afropop', 'highlife', 'makossa', 'mande pop', 'mbalax', 'soukous', 'world']
10;Joshua Rifkin;['ragtime']
11;Billy Bragg;['alternative country', 'alternative rock', 'anti-folk', 'folk', 'folk punk', 'folk rock', 'folk-pop', 'permanent wave', 'roots rock', 'singer-songwriter', 'traditional folk', 'uk americana']
12;Babylon Disco;['breakcore', 'deep breakcore', 'digital hardcore']
13;Los Gaiteros de San Jacinto;['colombian rock', 'cumbia', 'folclorica']
14;Charlie Khan;['dark cabaret']
15;MN;['lo-fi beats']
16;Nicholas Hooper;['british soundtrack', 'scorecore', 'soundtrack']
17;A Skylit Drive;['metalcore', 'pixie', 'post-screamo', 'screamo']
18;Deftones;['alternative metal', 'alternative rock', 'groove metal', 'modern rock', 'nu metal', 'post-grunge', 'rap metal', 'rap rock', 'rock']
19;Cool cavemen;['commons']
20;Hot Chip;['alternative dance', 'art pop', 'chillwave', 'dance-punk', 'electronic', 'electropop', 'indie pop', 'indie rock', 'indietronica', 'modern rock', 'neo-synthpop', 'new rave', 'trip hop']
21;Gian Marco;['cumbia', 'latin', 'latin pop', 'peruvian rock', 'pop reggaeton', 'tropical']
22;Burning Spear;['dancehall', 'dub', 'lovers rock', 'reggae', 'roots reggae']
23;Billie Jo Spears;['country gospel', 'cowboy western', 'nashville sound', 'traditional country']
24;Nu Flavor;['boy band']
25;DJ Spinn;['footwork', 'ghettotech']
26;Shakedown;['afrobeat', 'deep funk', 'funk', 'latin afrobeat']
27;Janet Paschal;['country gospel', 'southern gospel']
28;Mannheim Steamroller;['christmas', 'new age']
29;Death Cab for Cutie;['folk-pop', 'indie folk', 'indie pop', 'indie rock', 'modern rock', 'pop rock', 'stomp and holler']
30;OutKast;['dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop']
31;Snowgoons;['hardcore hip hop', 'underground rap']
32;The Advantage;['canadian indie', 'deep new americana', 'indie rock', 'modern rock', 'stomp and holler', 'toronto indie']
33;Lonnie Brooks;['blues', 'chicago blues', 'electric blues', 'louisiana blues', 'modern blues']
34;ARRESTED DEVELOPMENT;['conscious hip hop', 'hip hop', 'rap']
35;David Banner;['conscious hip hop', 'crunk', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music']
36;Venice;['baroque ensemble', 'orchestra']
37;Marc Broussard;['acoustic pop', 'neo mellow']
38;Soilent Green;['deathgrind', 'grindcore', 'sludge metal']
39;Angelo Badalamenti;['dark jazz', 'soundtrack']
